guid,tag
120,positive
2671,negative
1493,positive
857,neutral
4391,positive
4492,positive
1016,neutral
4651,positive
2769,positive
1266,negative
3430,negative
3396,positive
376,negative
3527,positive
2901,positive
4602,negative
2610,positive
1427,positive
4164,positive
4946,positive
2670,negative
4182,negative
2655,neutral
320,negative
1899,positive
1603,neutral
4758,positive
3196,positive
3962,negative
3414,negative
4479,positive
2940,negative
4594,positive
4462,neutral
2773,positive
1418,negative
3193,negative
4861,positive
4134,positive
3431,positive
3470,positive
2872,positive
2050,positive
2377,positive
3007,negative
3762,positive
900,positive
3485,positive
4350,negative
2507,positive
3042,neutral
4104,positive
4156,negative
5125,positive
4584,negative
3935,negative
4671,neutral
3496,negative
4217,positive
3635,positive
3540,positive
1014,negative
4465,negative
2788,neutral
3622,positive
4669,neutral
4531,positive
1506,positive
1462,positive
1244,positive
4961,positive
4019,negative
1305,negative
1701,positive
1658,positive
4816,negative
5110,negative
1824,positive
4374,positive
4265,negative
4130,neutral
2634,positive
3266,positive
4950,positive
816,positive
2696,neutral
3717,neutral
1068,neutral
3483,negative
1139,negative
1460,negative
3923,negative
4884,negative
4949,negative
2087,negative
647,positive
97,negative
3613,positive
4784,neutral
4344,positive
5019,negative
4247,positive
104,neutral
5102,positive
4089,neutral
199,positive
378,positive
890,positive
3345,positive
523,positive
1315,positive
2808,positive
3870,positive
1860,positive
2877,positive
138,positive
3749,positive
1582,positive
3297,positive
4530,positive
576,positive
3684,positive
786,negative
1594,positive
975,positive
498,positive
1265,negative
4667,positive
2025,negative
2783,negative
770,positive
2388,neutral
3382,positive
1070,positive
2645,negative
838,negative
10,negative
4241,positive
4438,positive
1131,positive
1569,positive
4616,positive
796,positive
678,neutral
1854,negative
2001,negative
696,positive
1222,positive
3147,negative
4891,positive
2771,positive
1961,negative
762,positive
658,positive
233,positive
1504,positive
1461,positive
23,positive
1707,negative
3639,positive
44,positive
4001,negative
4286,positive
713,positive
1102,negative
2586,negative
3605,neutral
3150,negative
2057,negative
2022,positive
1691,neutral
2156,negative
1513,negative
406,positive
2337,positive
1332,negative
825,neutral
4585,negative
3649,positive
4045,positive
1889,positive
4189,positive
2933,neutral
1731,positive
202,negative
2145,positive
4928,positive
2084,positive
953,positive
644,positive
3376,positive
2928,positive
3836,positive
4334,positive
4099,positive
3951,negative
4033,positive
4441,negative
624,positive
4853,negative
5088,positive
4181,positive
2045,positive
3050,negative
5089,negative
1859,positive
1217,positive
2562,positive
1085,positive
1361,positive
2689,negative
171,positive
1457,neutral
3885,negative
2766,negative
3711,positive
4973,positive
232,negative
1693,negative
2147,negative
997,positive
1851,negative
3480,negative
3973,positive
1570,positive
623,neutral
1726,positive
1440,positive
4404,positive
481,positive
834,positive
1689,negative
1488,negative
799,positive
4942,positive
2820,positive
985,neutral
2916,neutral
3225,negative
4894,positive
2608,positive
210,positive
2091,negative
4408,positive
3940,positive
1273,positive
2073,negative
3718,positive
2068,negative
2428,positive
1262,positive
2990,positive
84,positive
2331,positive
1683,positive
2977,positive
4414,negative
4996,positive
1589,negative
3778,negative
2807,positive
4076,negative
4976,positive
590,positive
369,positive
3177,positive
4143,neutral
1086,positive
4764,negative
2701,positive
3982,positive
671,negative
4494,negative
606,negative
4097,positive
4879,positive
4413,negative
782,negative
2161,positive
648,neutral
2319,neutral
3825,negative
1063,positive
4641,positive
3727,negative
2002,negative
2433,positive
4991,positive
4210,negative
88,positive
2323,positive
4225,negative
902,positive
3014,positive
5031,positive
3503,positive
1650,positive
2930,positive
1260,positive
2005,neutral
4647,negative
2987,positive
466,positive
781,positive
4124,neutral
528,neutral
225,positive
46,neutral
472,positive
2047,positive
2112,positive
562,positive
2770,positive
1976,positive
2686,positive
4544,negative
1170,positive
4954,positive
515,positive
736,positive
252,positive
1900,positive
856,negative
4253,positive
4486,positive
4518,positive
1278,neutral
5095,positive
661,negative
2525,positive
139,positive
151,positive
1129,negative
1705,negative
942,positive
4487,negative
132,positive
3873,positive
5076,negative
1116,positive
4731,positive
2581,negative
281,positive
278,positive
1079,positive
1503,positive
4865,positive
1978,negative
2879,positive
4504,positive
3818,positive
3188,positive
1609,positive
3606,positive
4519,positive
712,positive
4093,positive
1473,positive
4691,positive
4155,negative
1996,positive
2816,negative
962,neutral
4212,positive
4717,negative
4968,positive
3121,positive
4267,negative
15,positive
2896,negative
3647,positive
205,negative
27,neutral
1327,negative
384,negative
190,negative
2907,positive
1399,negative
1800,neutral
5032,positive
2003,positive
1925,positive
1115,negative
989,positive
5049,negative
4469,negative
1937,negative
3275,positive
798,positive
1721,positive
977,positive
3101,positive
4780,positive
3609,positive
3767,positive
2884,positive
3782,negative
1847,positive
5068,negative
3323,positive
1413,negative
1247,negative
3828,negative
1184,positive
2742,negative
3031,positive
245,neutral
4168,negative
412,positive
4174,positive
535,positive
1141,positive
1398,positive
4821,positive
1524,positive
2503,positive
2732,neutral
5086,negative
4876,negative
365,positive
1559,positive
2506,positive
2929,negative
3204,positive
4459,positive
109,positive
3262,positive
1077,positive
986,positive
1056,negative
4474,negative
4243,positive
4999,positive
4798,neutral
1934,positive
3456,negative
1915,positive
408,positive
22,negative
3260,positive
2964,positive
2340,negative
4343,negative
1382,positive
2588,positive
42,positive
3883,negative
4948,negative
3041,neutral
2529,positive
3941,negative
323,negative
500,positive
3657,negative
185,positive
4196,negative
4596,negative
913,positive
344,negative
2871,positive
3215,positive
4672,positive
3781,negative
766,positive
3079,negative
1876,neutral
907,positive
1347,negative
3568,negative
303,positive
3330,neutral
611,positive
702,positive
1428,positive
3593,positive
507,positive
2740,positive
1558,positive
402,negative
285,negative
1638,positive
428,neutral
4501,positive
4444,positive
2004,positive
876,positive
1232,positive
634,positive
3676,positive
4289,negative
3466,positive
705,positive
1813,positive
1735,negative
4971,positive
4802,negative
3136,negative
1486,negative
478,positive
269,neutral
1615,positive
3338,positive
1760,positive
946,positive
3921,positive
2010,positive
2069,negative
4650,neutral
2912,positive
2434,positive
405,neutral
4477,positive
3685,neutral
2380,positive
4359,negative
5062,negative
5094,negative
2456,positive
4195,negative
1392,positive
3832,negative
1334,positive
1628,positive
3947,negative
4921,negative
3429,negative
918,positive
510,positive
1359,negative
1960,positive
2980,negative
1767,positive
364,negative
3498,positive
2056,neutral
1276,positive
5002,negative
207,positive
2011,positive
3696,positive
1275,positive
1225,positive
1310,neutral
3358,negative
2530,positive
3250,positive
1030,positive
891,positive
4451,positive
1483,positive
1959,negative
707,positive
2534,positive
4801,positive
3772,negative
4420,negative
3734,negative
3771,negative
445,positive
5020,positive
130,negative
1380,negative
4303,negative
4257,positive
1335,positive
4463,neutral
5036,positive
795,neutral
1643,positive
627,neutral
687,negative
1470,positive
3350,positive
845,positive
3180,neutral
2947,positive
2592,positive
792,positive
2812,negative
1145,positive
4108,neutral
4184,negative
3120,positive
1739,negative
1245,positive
1700,positive
2662,negative
909,negative
1528,negative
3183,negative
1794,positive
2479,positive
4915,negative
2573,positive
4620,positive
1357,positive
1838,negative
4820,negative
315,positive
4422,negative
2564,negative
2061,positive
3561,positive
4963,positive
3743,positive
4766,positive
3257,negative
4509,positive
2827,positive
1572,negative
4383,negative
4309,positive
2675,negative
3234,positive
3719,negative
4868,positive
3094,neutral
2109,positive
859,positive
679,positive
3413,negative
3618,positive
2796,neutral
804,positive
904,positive
4482,positive
4862,positive
59,positive
3869,neutral
2356,negative
4677,positive
1878,negative
1356,negative
603,positive
2039,negative
1674,neutral
3755,negative
2724,neutral
1865,negative
2144,positive
3715,positive
1556,positive
1852,positive
4226,positive
4328,positive
2657,positive
1710,negative
2700,neutral
4523,negative
4128,positive
91,positive
3209,positive
2360,negative
4624,negative
2727,neutral
298,positive
3852,positive
1623,positive
4867,positive
3946,negative
888,positive
622,positive
1438,positive
4233,positive
417,positive
81,positive
2590,positive
1743,positive
1719,positive
4639,negative
3443,positive
3986,negative
1692,neutral
4458,negative
3107,negative
1042,neutral
4752,positive
2946,positive
3433,negative
2553,positive
2614,positive
4114,negative
328,positive
4657,neutral
4418,negative
2963,positive
355,positive
3162,positive
3865,positive
208,negative
4533,negative
2999,positive
497,positive
973,positive
2950,negative
2665,neutral
5048,positive
4262,negative
230,positive
1894,negative
971,positive
785,positive
4739,negative
1786,positive
4311,positive
1799,positive
2471,positive
3516,positive
4322,positive
3600,positive
4696,negative
3587,positive
2008,positive
4331,negative
1613,positive
3524,negative
4746,negative
1888,positive
3038,positive
4889,positive
3331,positive
329,positive
1911,neutral
1687,positive
2476,negative
765,positive
3604,positive
490,positive
4197,negative
143,positive
2040,negative
3249,positive
4160,negative
771,positive
1644,positive
3808,neutral
950,positive
1208,positive
123,positive
2752,positive
817,positive
683,positive
892,positive
3967,negative
3994,positive
2714,negative
4869,positive
3337,negative
2878,positive
2594,positive
209,positive
2761,neutral
5038,positive
1829,negative
2382,positive
2658,neutral
1775,negative
2718,negative
1055,positive
2976,negative
4638,positive
727,negative
3995,positive
944,negative
1065,positive
760,neutral
797,positive
1930,positive
691,positive
1979,positive
493,positive
5129,positive
5117,negative
3411,negative
2383,positive
5069,positive
984,neutral
4577,positive
3877,positive
100,positive
4071,negative
2015,negative
893,positive
2561,neutral
4789,positive
4315,positive
1081,positive
2446,positive
580,neutral
709,positive
2755,neutral
4535,negative
945,positive
686,positive
941,positive
2605,negative
2033,positive
5035,positive
4714,positive
198,neutral
2370,neutral
1566,negative
1336,negative
4783,positive
1696,positive
1300,positive
3058,negative
485,negative
484,negative
1502,negative
2887,negative
1326,positive
4563,neutral
4757,positive
409,positive
4567,positive
257,positive
271,positive
854,negative
3708,positive
829,positive
4589,positive
2350,negative
3547,negative
1251,neutral
4663,positive
3800,negative
3736,negative
4439,positive
3049,positive
866,negative
1353,positive
4665,neutral
2119,negative
3194,positive
337,positive
3699,negative
4637,positive
2012,neutral
1246,negative
1563,positive
3843,positive
4740,positive
1009,positive
2473,positive
1109,positive
957,negative
3957,positive
676,negative
3831,negative
3896,positive
4823,negative
4654,neutral
1783,negative
218,positive
5045,positive
998,positive
1599,neutral
1971,positive
3390,positive
2984,neutral
1755,negative
4231,neutral
3590,positive
244,positive
3187,negative
1510,negative
5082,negative
4994,negative
2072,positive
1437,positive
2838,positive
1466,positive
3875,negative
403,positive
582,neutral
4090,neutral
1844,positive
1422,positive
43,positive
5021,positive
1568,positive
965,negative
4008,negative
2900,positive
4221,positive
1467,positive
1746,positive
2381,positive
921,negative
778,negative
4957,positive
682,positive
3704,positive
668,negative
3208,positive
2103,positive
3912,positive
4118,positive
2937,neutral
4123,positive
963,positive
4662,neutral
3972,positive
2452,neutral
3087,negative
1732,positive
530,positive
4062,negative
162,positive
2829,neutral
2313,negative
516,neutral
3523,neutral
3353,negative
3738,positive
3056,neutral
333,negative
2110,neutral
4129,neutral
4609,positive
1471,neutral
5028,neutral
1982,positive
3830,negative
2951,positive
1230,positive
24,neutral
4175,positive
3700,positive
4024,positive
1178,positive
1255,positive
16,positive
2450,neutral
1831,positive
4933,negative
3668,negative
3499,negative
5079,positive
3747,positive
908,negative
5121,positive
4646,negative
3645,positive
2998,negative
2967,positive
554,positive
4207,positive
3922,negative
2504,positive
4416,negative
1826,positive
1919,negative
4313,positive
3918,negative
3956,negative
4979,positive
4035,negative
4761,positive
737,positive
1581,neutral
3167,negative
1171,positive
2621,positive
2064,negative
2935,neutral
3238,positive
2038,neutral
3220,positive
4982,negative
1891,negative
4209,positive
899,negative
4268,positive
316,negative
1750,positive
201,negative
3241,positive
239,positive
360,positive
3661,negative
3857,positive
2081,positive
367,negative
4965,positive
4760,neutral
2329,negative
1901,positive
5078,negative
2593,positive
3550,negative
4388,negative
3473,positive
4440,negative
3057,positive
2650,negative
2952,positive
2997,positive
3448,negative
2961,negative
1637,positive
3490,positive
4178,positive
3219,positive
430,negative
2723,neutral
3274,negative
2813,positive
110,negative
2859,positive
4792,positive
3351,positive
597,negative
1187,positive
463,positive
4382,positive
4822,positive
3155,negative
420,positive
3920,neutral
1072,positive
5014,positive
2465,positive
1239,positive
2931,negative
181,neutral
1156,negative
2731,neutral
1870,neutral
1412,positive
1548,negative
3611,positive
2536,positive
287,positive
1714,neutral
2427,positive
1405,positive
3944,negative
2100,negative
4676,positive
4936,positive
621,neutral
2970,neutral
827,positive
793,positive
4608,positive
915,positive
4716,negative
4021,positive
4161,negative
1132,positive
3252,positive
4890,positive
2111,neutral
2490,positive
4489,positive
3478,negative
141,positive
4157,negative
2633,negative
168,positive
3310,negative
4987,positive
4826,negative
3295,positive
482,positive
3614,positive
194,negative
757,positive
117,neutral
947,negative
4211,negative
1858,positive
4310,positive
4575,positive
5015,positive
1549,neutral
4137,positive
3551,negative
354,negative
928,negative
455,positive
2552,neutral
1907,positive
4977,negative
3664,negative
2095,neutral
694,positive
2832,neutral
4897,positive
2118,negative
3229,positive
4682,positive
2844,negative
2945,negative
4829,negative
598,positive
2996,positive
4055,positive
2133,positive
3674,neutral
2736,neutral
2568,positive
3509,negative
1069,negative
4734,positive
1846,neutral
4787,positive
1373,negative
4056,negative
2780,positive
1845,positive
2440,positive
2335,negative
3446,positive
860,positive
291,positive
4909,positive
4424,positive
3146,positive
4579,positive
377,negative
537,positive
3531,positive
1939,positive
4029,positive
4232,positive
1448,positive
29,positive
2619,negative
2789,positive
3617,neutral
4266,negative
451,negative
4047,neutral
471,positive
1216,positive
4941,positive
1953,positive
4914,positive
1505,positive
2166,positive
293,positive
1279,neutral
3308,positive
4939,negative
3218,positive
4930,positive
3858,positive
3621,positive
4260,positive
843,positive
529,negative
1745,positive
2960,negative
2092,positive
552,neutral
247,positive
875,negative
2791,positive
4399,positive
3529,neutral
1912,neutral
1966,positive
1407,positive
4772,positive
4970,positive
4169,positive
4856,negative
488,positive
924,positive
4063,negative
411,positive
1292,positive
4759,positive
4767,positive
4655,positive
521,positive
4537,neutral
2449,positive
385,negative
821,positive
2439,neutral
4887,negative
72,negative
4442,negative
7,positive
3197,negative
4623,negative
3987,positive
896,positive
1174,negative
4250,positive
4171,positive
4018,positive
641,negative
103,positive
2910,positive
1740,negative
4351,positive
758,positive
3129,negative
4096,positive
1725,positive
3880,negative
553,positive
958,positive
3675,positive
750,negative
335,neutral
2134,positive
1480,negative
263,positive
5042,positive
4068,positive
1410,negative
1294,negative
3620,neutral
3513,negative
3405,negative
865,neutral
4102,neutral
2334,negative
4517,negative
4002,negative
474,positive
4765,neutral
